,Date,Location,Dead,Injured,Total,Description,State,Year
40,"February 24, 2005","Tyler, Texas",3,4,7,"Tyler courthouse shooting: A man shot his ex-wife and son outside a courthouse, killing his wife. Following a shootout the man shot a resident who tried to intervene, before fleeing and dying after a shootout with police.", Texas,2005
41,"December 8, 2004","Columbus, Ohio",5,3,8,"Columbus nightclub shooting: A deranged fan killed four, including musician Dimebag Darrell, and wounded three others before being killed by police.", Ohio,2004
42,"November 21, 2004","Meteor, Wisconsin",6,2,8,Hunting Trip (2004): A man shot eight people while on a hunting trip in northern Wisconsin; six were killed and two were wounded., Wisconsin,2004
43,"June 17, 2004","Birmingham, Alabama",3,1,4,"2004 shooting of Birmingham police officers: A man shot at police in a crack house, killing three and wounding one.[219]", Alabama,2004
44,"March 12, 2004","McKinney, Texas",4,0,4,McKinney quadruple murder: Three men killed four people in a robbery.[220], Texas,2004
45,"March 12, 2004","Fresno, California",9,0,9,Wesson family murders: A man convicted of the molestation and murders of his children and nieces shot and killed nine members of his family during a standoff over a child custody dispute.[221], California,2004
46,"December 10, 2003","Sugar Land, Texas",2,2[n 1],4,"2003 Sugar Land murders: A friend of a man shot three of the man's family members, killing two. The two then staged a struggle in which the friend shot the man. The man escaped to Mexico and was apprehended in 2005.[222]", Texas,2003
47,"November 6, 2003","Chesnee, South Carolina",4,0,4,Superbike murders: A disgruntled customer shot and killed four people at a motorcycle shop.[223], South Carolina,2003
48,"July 18, 2003","Clear Lake City, Texas",4,0,4,"Clear Lake murders: A seventeen-year-old girl, accompanied by her boyfriend, shot and killed four people following an argument over drugs. One of the victims was also beaten.[224]", Texas,2003
49,"July 8, 2003","Meridian, Mississippi",7,8,15,"Lockheed Martin shooting: A man opened fire at his workplace, killing six and wounding eight before committing suicide.[225]", Mississippi,2003
50,"July 6, 2003","Bakersfield, California",5,0,5,Brothers family murders: A man shot and killed five family members before fleeing. He was arrested in 2004 and sentenced to death.[226], California,2003
51,"June 14, 2003","Madison County, Montana",1,10[n 1],11,"2003 Ennis shooting: A man opened fire on a group of people outside of a bar, and then engaged in a high speed chase and shootout with law enforcement, he killed one and injured 10 including himself.[227]", Montana,2003
52,"April 14, 2003","New Orleans, Louisiana",1,3,4,John McDonogh High School shooting: Two perpetrators opened fire in the school gymnasium and killed one student and wounded three others.[228], Louisiana,2003
53,"July 4, 2002","Los Angeles, California",3,5[n 23],8,"2002 Los Angeles International Airport shooting: The gunman opened fire at a line of passengers at a ticket counter, he killed two and injured five before being killed by a security officer.[229]", California,2002
54,"January 16, 2002","Grundy, Virginia",3,3,6,"Appalachian School of Law shooting: A former student opened fire after a meeting with a professor in the offices of the dean of students and a professor, killing them and a student and injured three other students before he was subdued by a Marine veteran.[230]", Virginia,2002
55,"April 14, 2001","Elgin, Illinois",2,14,16,"JB's Pub shooting: A man kicked out of a bar for harassing female customers and employees went home, retrieved several guns, and opened fire, shooting 16 people, 2 fatally. Five other people suffered cuts and bruises.[231]", Illinois,2001
56,"March 5, 2001","Santee, California",2,13,15,"Santana High School shooting: A 15-year-old student entered a boys bathroom and shot another student then left and began to fire widely, another student was killed and thirteen were injured.[232]", California,2001
57,"February 5, 2001","Melrose Park, Illinois",5,4,9,"2001 Navistar shooting: A 66-year-old man entered his old workplace with an AK-47 and shot eight people, killing four, before turning the gun on himself.[233]", Illinois,2001
58,"December 28, 2000","Philadelphia, Pennsylvania",7,3,10,"Lex Street massacre: Ten people were shot in a crack house, seven fatally.[234]", Pennsylvania,2000
59,"December 26, 2000","Wakefield, Massachusetts",7,0,7,"Wakefield massacre: Michael McDermott, an application support employee, shot and killed seven co-workers.", Massachusetts,2000
60,"September 22, 2000","Roanoke, Virginia",1,6,7,"2000 Roanoke shooting: A man entered a gay bar and shot at patrons, killing one and wounding six before being arrested.[235]", Virginia,2000
61,"May 24, 2000","New York City, New York",5,2,7,Wendy's massacre: Two robbers locked seven employees in the restaurant freezer and shot and killed five and wounded two during a robbery.[236], New York,2000
62,"March 20, 2000","Irving, Texas",5,1,6,Irving car wash shooting: A former employee entered a car wash and shot and killed five people and wounded another during a robbery. One of the victims also had his throat slit.[237], Texas,2000
63,"March 1, 2000","Wilkinsburg, Pennsylvania",3,2,5,2000 Wilkinsburg shooting: The perpetrator shot and killed three people in a racially motivated shooting spree.[238], Pennsylvania,2000
0,"August 3, 2010","Manchester, Connecticut",9,2,11,"Hartford Beer Distributors shooting: An employee of Hartford Distributors, a beer distribution company, was fired. In retaliation he shot and killed eight coworkers and injured two others before committing suicide.", Connecticut,2010
